Question ID,Question,Question Short,Question index
4658,Is there violent conflict (within sample region):,violent conflict within,1
4668,Does the religious group actively proselytize and recruit new members:,proselytize,2
4730,Are they written:,scriptures written,3
4745,Is monumental religious architecture present:,monuments,4
4758,"Mass gathering point [plazas, courtyard, square. Places permanently demarcated using visible objects or structures]:",mass gather,5
4780,Belief in afterlife:,afterlife belief,6
4792,Reincarnation linked to notion of life-transcending causality (e.g. karma):,reincarnation karma,7
4809,Human sacrifices present:,human sacrifice,8
4828,A supreme high god is present:,supreme god,9
4955,There is supernatural monitoring of prosocial norm adherence in particular:,supernat. monit. prosoc.,10
4978,Supernatural beings care about performance of rituals:,supernat. care rituals,11
5002,Supernatural punishments are meted out in this lifetime:,supernat. punish this life,12
5046,Are messianic beliefs present:,messianic,13
5077,Are general social norms prescribed by the religious group:,social norms prescribed,14
5121,Does membership in this religious group require celibacy (full sexual abstinence):,celibacy required,15
5129,Does membership in this religious group require forgone food opportunities (taboos on desired foods):,food taboos,16
5130,Does membership in this religious group require permanent scarring or painful bodily alterations:,bodily alterations,17
5148,"Does membership in this religious group require sacrifice of time (e.g., attendance at meetings or services, regular prayer, etc.):",sacrifice time,18
5152,"Does membership in this religious group require participation in small-scale rituals (private, household):",small-scale rituals,19
5154,Does membership in this religious group require participation in large-scale rituals:,large-scale rituals,20
