size,node_id
0.039905144373,1
0.077708818094,2
0.11285094665,3
0.065426902423,4
0.11188882786,5
0.027581615423,6
0.0033253070424,7
-0.013881045763,8
-0.030583124984,9
0.021264260194,10
0.12748820567,11
-0.078846951906,12
-0.13780711149,13
0.063388786982,14
0.067772540136,15
0.06327346947,16
0.083986998877,17
0.12784222753,18
-0.060838663875,19
0.050072390013,20
-0.012742044402,21
0.10010806561,22
-0.0038890494127,23
-0.00070187197353,24
0.070539877212,25
-0.0467725665,26
0.15048640579,27
0.0063881179005,28
-0.14185879789,29
-0.011899815843,30
0.0090804693192,31
-0.11486614096,32
-0.0028668567624,33
-0.00097195392078,34
-0.0094636045455,35
-0.0082427965799,36
0.00032354706122,37
0.0042721187189,38
