Question ID,Question
4955,There is supernatural monitoring of prosocial norm adherence in particular:
5077,Are general social norms prescribed by the religious group:
4730,Are they written:
4745,Is monumental religious architecture present:
4685,Are apostates prosecuted or punished:
4828,A supreme high god is present:
5046,Are messianic beliefs present:
5121,Does membership in this religious group require celibacy (full sexual abstinence):
4809,Human sacrifices present:
4780,Belief in afterlife:
5078,Is there a conventional vs. moral distinction in the religious group:
5122,Does membership in this religious group require constraints on sexual activity (partial sexual abstinence):
5024,Supernatural rewards are bestowed out in the afterlife:
4991,Done to enforce group norms:
5032,Supernatural rewards are bestowed out in this lifetime:
4668,Does the religious group actively proselytize and recruit new members:
4995,Supernatural punishments are meted out in the afterlife:
4658,Is there violent conflict (within sample region):
4762,Are pilgrimages present:
5002,Supernatural punishments are meted out in this lifetime:
5021,Done to enforce group norms:
4659,Is there violent conflict (with groups outside the sample region):
4681,Is religious observance enforced by the polity:
5129,Does membership in this religious group require forgone food opportunities (taboos on desired foods):
4740,Are there formal institutions (i.e. institutions that are authorized by the religious community or political leaders) for interpreting the scriptures:
4792,Reincarnation linked to notion of life-transcending causality (e.g. karma):
4964,Supernatural beings care about sex:
5130,Does membership in this religious group require permanent scarring or painful bodily alterations:
4758,"Mass gathering point [plazas, courtyard, square. Places permanently demarcated using visible objects or structures]:"
4969,Supernatural beings care about honouring oaths:
5143,Does membership in this religious group require sacrifice of property/valuable items:
5148,"Does membership in this religious group require sacrifice of time (e.g., attendance at meetings or services, regular prayer, etc.):"
5150,Does membership in this religious group require accepting ethical precepts:
5152,"Does membership in this religious group require participation in small-scale rituals (private, household):"
4978,Supernatural beings care about performance of rituals:
5154,Does membership in this religious group require participation in large-scale rituals:
4979,Supernatural beings care about conversion of non-religionists:
5161,Are extra-ritual in-group markers present:
